name,age,age_group,country,handedness,home_location_type,sleep,sleep_group,tertiary_qualifications
James Smith,41,4,1,1,1,7.5,2,1
Jessica Stone,56,5,1,1,1,8.0,2,1
Jessica Fitzgerald,79,7,4,1,3,10.0,3,1
Billy Ramirez,29,2,1,1,2,7.0,2,3
Kayla Hale,11,1,4,1,1,7.0,2,1
Taylor Whitehead,9,1,1,2,2,7.5,2,1
April Stokes,71,7,2,3,1,8.0,2,1
Daniel Meyer,30,3,3,1,2,7.5,2,2
Dr. Patricia Farmer MD,51,5,4,2,1,9.0,3,1
Anna King,16,1,3,1,3,10.0,3,1
Lisa Gallagher,54,5,2,2,2,6.5,1,1
Joan Thornton,51,5,2,1,2,8.0,2,1
Brenda Carney MD,89,8,1,1,2,9.5,3,1
Amanda Tran,84,8,1,1,3,8.5,2,2
Jessica Francis,75,7,1,1,1,6.0,1,1
Ashley Smith,20,2,1,1,1,6.0,1,1
Jerry Long,66,6,3,1,2,9.0,3,1
David Flowers,65,6,1,1,1,6.5,1,1
Mark Jones,18,1,1,1,3,4.0,1,1
Kelsey Friedman,26,2,4,1,3,7.5,2,2
Melinda Holder,19,1,2,1,1,7.0,2,1
Bradley Roberts,24,2,4,3,1,7.5,2,2
Brandy Valencia,84,8,2,1,1,10.0,3,2
Nathan Rodriguez,63,6,1,1,3,6.0,1,1
Andrew Sparks,48,4,1,1,1,8.0,2,1
Jessica Ayala,67,6,3,1,3,7.5,2,2
Alyssa Hughes,9,1,1,1,2,9.5,3,1
Michael Carter,92,8,1,1,2,5.0,1,1
Dylan Figueroa,72,7,1,1,3,6.0,1,2
Cody Paul,75,7,3,1,1,5.5,1,2
Phillip Humphrey,39,3,1,1,1,10.0,3,1
Erica Allen,48,4,1,1,1,10.0,3,1
Sara Ramirez,73,7,4,1,3,7.5,2,1
Edward Boyer,18,1,4,1,1,8.5,2,1
Miranda Bryant,74,7,2,1,3,7.5,2,1
Dylan Long,54,5,4,1,3,6.0,1,1
Vincent Lutz,28,2,4,1,2,6.5,1,1
Rachel Price,79,7,1,1,3,7.5,2,1
Jenna Fowler,77,7,3,1,3,5.5,1,3
Donna Cline,35,3,3,1,3,7.5,2,1
Mr. Nicholas Simmons,62,6,1,2,1,5.0,1,1
Teresa Hicks,21,2,3,1,2,8.5,2,1
Robert Brown,70,7,1,1,1,6.5,1,2
Rhonda Odonnell,20,2,4,2,1,9.0,3,2
Jesus Young,86,8,3,1,3,7.5,2,1
Katherine Shepherd,10,1,1,1,1,8.0,2,1
Jon Copeland,29,2,1,1,2,7.0,2,1
Laurie Holt,50,5,3,1,2,6.5,1,1
Jesse Wilson,48,4,1,1,1,8.0,2,2
Kevin Rogers,51,5,3,1,3,8.5,2,1
Elizabeth Palmer,82,8,1,1,2,9.0,3,1
Sarah Juarez,92,8,3,1,1,7.0,2,3
Samantha Newton,55,5,3,1,1,6.0,1,1
Thomas Smith,35,3,4,1,2,7.0,2,1
Nicole Dunlap,45,4,1,1,1,5.0,1,2
Diane Conway,40,4,3,1,3,9.5,3,2
Michael Colon,14,1,1,2,2,8.5,2,1
Diane Rodriguez,11,1,1,1,1,7.5,2,1
Michael Hayes,93,8,1,1,1,8.5,2,1
James Frank,40,4,1,3,1,7.0,2,1
Lindsey Gutierrez,76,7,4,2,1,8.5,2,1
Alejandro Johnson,77,7,1,1,3,8.0,2,2
Debra Blackburn,24,2,4,2,2,9.0,3,1
Christine Rogers,45,4,2,1,2,8.5,2,1
Brian Cline,11,1,1,1,1,5.5,1,1
Suzanne Sanford,22,2,1,1,2,12.0,3,2
Cynthia Parker,84,8,4,2,2,7.0,2,1
Brittany Garcia,80,8,1,2,2,6.0,1,1
Megan George,16,1,3,1,1,7.5,2,1
Zachary Estrada,44,4,1,3,2,7.5,2,1
Peggy Barnett,43,4,4,1,1,8.5,2,1
John Woodward,12,1,4,1,1,8.5,2,1
Megan Olson,8,1,1,2,1,8.0,2,1
John Holmes,23,2,1,1,1,7.0,2,1
Tiffany Davenport,97,8,3,1,1,5.5,1,1
Lori Oconnell,22,2,1,2,3,8.5,2,1
James Sanchez,20,2,1,1,2,8.0,2,1
Mario Anderson,22,2,1,1,1,6.0,1,1
Andrew Manning,24,2,1,1,1,7.0,2,1
Amy Thornton,25,2,3,1,3,7.0,2,1
Colin Bell,53,5,3,1,1,6.0,1,1
Vanessa Martinez,66,6,2,1,1,6.0,1,1
Beverly Carr,53,5,4,1,2,8.5,2,1
Michelle Hoffman,43,4,1,1,2,8.0,2,1
Steven Murray,99,8,4,1,1,7.0,2,1
Kelly Garcia,8,1,2,2,2,10.0,3,1
Sharon Black,69,6,2,1,1,7.0,2,1
Tiffany Hughes,65,6,1,1,1,7.0,2,1
Alexander Garcia,74,7,1,1,1,7.0,2,1
Theresa George,19,1,2,1,1,7.5,2,1
Mary Moyer,48,4,1,1,1,9.5,3,1
Ryan Ellis,59,5,3,1,1,6.0,1,2
Michelle Rogers,20,2,4,1,1,7.0,2,2
John Howard,89,8,4,2,2,6.5,1,1
Robert Thomas,52,5,1,2,3,9.0,3,2
Rachel Allen,15,1,1,3,1,6.5,1,1
Joseph Rangel,53,5,1,1,1,6.5,1,1
Christopher Smith,27,2,4,1,2,10.0,3,1
Linda Mathews,47,4,4,1,2,8.5,2,2
Joyce Dean,42,4,1,1,2,7.5,2,1
Sarah Ford,45,4,3,1,3,5.0,1,1
Franklin Lowery,50,5,1,1,3,8.0,2,2
Robert Anderson,45,4,2,1,3,6.5,1,2
Timothy Combs,60,6,4,1,1,11.0,3,3
Paul Bass PhD,10,1,1,1,1,7.0,2,1
Jennifer Payne,28,2,3,1,1,7.5,2,1
Martin Marshall,21,2,1,1,3,8.0,2,1
Jacqueline Bowman,66,6,2,1,2,7.0,2,1
Mary Harvey,81,8,1,1,2,6.0,1,1
Felicia Garrett,95,8,3,1,1,8.5,2,1
Samuel Zhang,37,3,3,1,1,3.5,1,1
David Rich,19,1,1,1,1,6.5,1,1
Rachel Holland,45,4,1,1,3,7.5,2,1
Jamie Fisher DDS,53,5,3,1,1,7.5,2,1
Jennifer Stephenson,67,6,1,2,3,5.5,1,3
Hunter Anderson,80,8,1,1,1,6.0,1,1
Joseph Mendoza,29,2,4,1,1,9.0,3,1
Kevin Nelson,94,8,1,1,1,9.0,3,2
Anna Garza,38,3,1,1,1,8.0,2,1
Michael Smith,9,1,1,1,1,8.0,2,1
Donna Johnson,25,2,1,1,2,11.5,3,1
Anna Cook,15,1,1,1,1,9.5,3,1
Dana Walls,40,4,2,1,1,7.5,2,1
Julia Blevins,65,6,1,1,1,10.0,3,3
Jason Bush,20,2,1,1,1,10.0,3,1
Amanda Edwards,59,5,3,1,2,11.0,3,1
Adam Baker,24,2,1,1,2,8.5,2,1
Jose Robertson,77,7,1,1,3,7.5,2,1
Sara Jacobs,73,7,1,1,2,6.5,1,1
Megan Sanchez,14,1,1,1,1,6.5,1,1
Jennifer Parks,10,1,1,1,1,9.0,3,1
Daniel Bryant,38,3,3,2,1,9.0,3,1
Joseph Hayes,28,2,1,2,1,7.5,2,2
Sarah Guzman,30,3,1,2,1,8.0,2,1
Kayla Ramirez,9,1,1,2,1,8.5,2,1
James Russell,32,3,2,1,2,7.0,2,1
Steven Jenkins,44,4,3,3,3,7.5,2,1
Emily Padilla,29,2,3,3,3,6.5,1,1
Betty Galvan,52,5,3,2,3,5.0,1,1
Michelle Blair,44,4,4,1,1,6.0,1,1
Melissa Bailey,47,4,1,1,1,6.0,1,1
Elizabeth Bradley,84,8,2,1,1,6.5,1,2
Colton Farmer,45,4,3,1,1,10.5,3,1
Mikayla Patel,19,1,4,3,1,11.5,3,1
Joshua Pearson,15,1,2,3,1,13.0,3,1
John Henderson,91,8,3,1,3,7.0,2,1
Kathy Vargas,28,2,4,1,3,4.5,1,1
Ashley Scott,50,5,1,1,1,7.5,2,1
Rebecca Henderson,35,3,2,3,1,8.0,2,3
Frank Cohen,78,7,2,1,1,9.0,3,1
Todd Williams,44,4,1,1,1,6.5,1,3
Joseph Martin,75,7,4,1,1,8.5,2,1
Michael Zamora,40,4,3,2,1,6.0,1,1
Kevin House,39,3,1,1,1,9.5,3,1
Jonathan Nguyen,8,1,1,1,2,10.0,3,1
Miss Karen Long,25,2,1,1,3,8.5,2,1
Joseph Wheeler,45,4,1,1,3,7.0,2,2
Alexander Cooper,64,6,2,1,1,6.5,1,1
Douglas Johnson,24,2,2,1,3,7.5,2,1
Peter Stone,75,7,1,1,1,7.5,2,1
Jacob Johnson,44,4,2,1,1,6.0,1,2
Melody Martinez,16,1,2,1,3,7.5,2,1
Amanda Walton,37,3,3,1,3,7.5,2,2
Melvin Martin,57,5,2,1,1,5.5,1,1
Samantha Rosario,36,3,1,1,2,7.5,2,1
Stephen Petty,8,1,2,3,2,6.0,1,1
Victoria Fleming,23,2,2,2,1,7.0,2,1
David Hines,70,7,2,1,1,7.0,2,3
Cody Flores,53,5,4,1,2,9.0,3,1
Alyssa Murphy,48,4,1,1,1,8.5,2,1
Ryan Marshall,64,6,3,1,2,7.5,2,1
Tracie Matthews,19,1,2,3,1,7.0,2,1
Courtney Hall,33,3,3,1,1,8.5,2,3
Ryan Reid,38,3,1,2,1,7.0,2,2
Shannon Palmer,33,3,4,3,1,7.5,2,1
Kathryn Contreras,15,1,3,3,3,11.0,3,1
Patrick Peters,65,6,1,1,2,5.5,1,1
Heather Smith,21,2,1,2,1,8.0,2,1
Jennifer Oliver,84,8,3,1,3,5.5,1,1
Pamela Powers,63,6,3,1,1,8.5,2,1
Molly Davila,10,1,3,1,1,9.0,3,1
Adrian Graves,55,5,3,1,3,9.5,3,1
Alex Jones,36,3,1,1,1,7.0,2,1
Rhonda Duncan,9,1,2,1,1,7.5,2,1
Patrick Willis,94,8,1,1,1,6.5,1,1
Rebecca Nunez,72,7,1,1,3,6.0,1,2
Stephanie Alexander,28,2,1,1,1,6.5,1,1
Laura Williams,89,8,1,1,2,8.0,2,1
Ian Hernandez,85,8,2,1,3,8.5,2,1
Ryan Arellano,22,2,2,1,2,5.0,1,1
Richard Fry,27,2,1,1,1,8.5,2,1
Sean Mcclain,27,2,2,1,1,9.5,3,3
Michael Johnson,55,5,2,2,3,9.5,3,1
Michele Matthews,30,3,4,2,1,9.5,3,1
Darlene Irwin,72,7,4,1,1,8.0,2,2
Brittany Davis,15,1,1,1,1,9.5,3,1
Stacy Maldonado,64,6,1,1,1,8.5,2,1
Jeffery Hernandez,80,8,1,3,1,5.5,1,1
Sara Reyes,39,3,3,2,3,7.0,2,1
Brandon Shannon,86,8,1,1,2,7.5,2,1
Danny Abbott,56,5,1,2,1,7.5,2,1
Jennifer Clark,50,5,1,3,1,3.0,1,1
Jose Warren,13,1,1,2,2,9.5,3,1
Michael Davis,46,4,2,1,3,9.0,3,1
Tammy Callahan,31,3,4,1,1,7.0,2,1
Jordan Bauer,93,8,2,1,3,6.5,1,1
Katherine Blake,49,4,3,1,3,10.0,3,1
Shawn Ramirez,57,5,4,2,3,5.0,1,1
Denise Richardson,33,3,1,1,3,10.0,3,1
Joshua Sims,90,8,1,1,1,8.0,2,1
Daniel Watson,50,5,1,2,2,6.0,1,1
Mrs. Tabitha Williams,85,8,1,1,2,10.0,3,1
Tiffany Guerrero,84,8,1,1,1,5.0,1,1
Michael Martinez,45,4,1,1,1,9.5,3,1
Carlos Harris,40,4,1,2,3,4.0,1,1
Kathy Glover,32,3,4,1,1,6.5,1,2
Joe Avila,29,2,1,1,1,6.0,1,2
Edward Harper MD,24,2,4,1,1,8.0,2,1
Benjamin Meyer,57,5,4,1,3,5.5,1,1
Emily Shea,47,4,1,1,3,8.5,2,3
Robert Rose,72,7,1,1,1,6.0,1,2
Christina Gutierrez,11,1,1,1,1,8.0,2,1
Benjamin Alvarado,11,1,1,1,1,7.5,2,1
Casey Davila,25,2,1,1,1,7.5,2,1
Caitlin Alvarado,80,8,1,1,2,5.0,1,1
Heidi Valdez,20,2,1,3,1,9.5,3,2
Monica Fry,8,1,1,1,3,9.5,3,1
Sabrina Lucas,95,8,3,2,2,6.0,1,1
Laura Phillips,42,4,1,1,1,6.5,1,1
Gregory Boyd,45,4,1,1,2,5.0,1,1
Lori West,24,2,2,1,3,10.0,3,1
Tammy Henry,39,3,2,2,1,6.5,1,1
Edward Martin,8,1,1,1,2,8.5,2,1
Jamie Odom,16,1,2,1,1,10.0,3,1
Steven Navarro,54,5,1,3,1,9.0,3,2
Tracy Hale MD,52,5,1,2,1,7.0,2,1
Sherry May,20,2,4,1,3,10.0,3,2
Carrie Alvarez,26,2,1,1,1,8.5,2,2
Stephanie Cain,46,4,4,1,1,5.5,1,1
Jason Drake,55,5,4,1,1,2.5,1,1
Corey Osborn,85,8,4,2,3,8.5,2,1
Scott Garcia,73,7,3,1,3,6.5,1,1
Charles Jackson,82,8,3,2,3,6.5,1,2
Tracy Zimmerman,97,8,1,1,1,8.5,2,3
Aaron Robinson DDS,19,1,1,1,1,8.5,2,1
Larry Wilkinson,26,2,2,1,1,5.0,1,1
Rebecca Young,69,6,2,1,1,8.0,2,1
Jordan Bell,22,2,3,2,3,6.5,1,1
Chad Dunn,51,5,1,3,3,7.0,2,2
Christopher Rose,93,8,2,1,1,4.0,1,3
Amanda Middleton,38,3,2,2,1,8.5,2,1
Leslie Pena,43,4,4,1,3,7.0,2,1
Hannah Wright,64,6,2,1,1,6.5,1,1
Rhonda Harrison,55,5,1,1,2,6.5,1,1
Mrs. Sonya Miller,79,7,3,1,1,7.5,2,1
Stacey Snyder,32,3,2,1,2,7.0,2,2
Mary Brown,20,2,2,1,3,8.0,2,1
Katherine Black,20,2,3,3,1,5.5,1,2
Robert Khan,18,1,2,1,3,9.0,3,1
Kenneth Cunningham,21,2,2,1,1,10.0,3,1
Nathan Potts,51,5,1,2,1,8.0,2,2
Rebecca Mack,28,2,1,2,2,4.5,1,1
Matthew Hurst,18,1,2,2,1,7.0,2,1
Jacob Baker,55,5,1,1,1,7.0,2,1
Sean Morgan,30,3,1,1,1,6.0,1,1
Kenneth Carroll,26,2,1,1,3,6.0,1,1
Robert Hall,98,8,2,1,3,4.5,1,2
Austin Walker,37,3,4,1,3,5.5,1,1
Jessica Flores,45,4,3,2,1,9.5,3,3
John Barajas,54,5,1,1,2,6.5,1,1
Janice Schmidt,32,3,1,1,1,5.0,1,3
Jeremy Miller,37,3,1,1,3,6.0,1,1
Sarah Lopez,46,4,2,2,1,2.5,1,1
Jay Bradley,28,2,4,1,1,4.5,1,1
Dustin Arroyo,47,4,2,1,2,7.5,2,1
Susan Reilly,72,7,3,2,1,7.0,2,1
Alejandra Smith,68,6,2,1,3,9.0,3,1
Michael Moore,33,3,1,2,3,9.0,3,2
Marcus Drake,94,8,2,3,1,5.0,1,2
Sara Thomas,9,1,1,3,1,9.0,3,1
Joseph Nguyen,66,6,2,1,2,9.0,3,1
James Lopez,24,2,2,1,1,8.0,2,1
Jonathan Freeman,18,1,2,1,1,7.5,2,1
Bryan Marsh,59,5,1,1,2,6.5,1,1
Mark Rodriguez,63,6,2,1,2,6.5,1,2
Monica Cruz,46,4,1,1,1,7.0,2,1
Dennis Wade,65,6,2,1,2,8.0,2,1
Amanda Ayers,86,8,1,1,2,6.5,1,1
Brian Castillo,93,8,3,1,2,10.5,3,1
Mrs. Mary Morgan MD,23,2,4,1,2,6.5,1,1
Jason Lynch,84,8,1,2,2,10.0,3,2
Lauren Hardy,61,6,1,1,3,8.5,2,2
Jeffrey Sutton,59,5,3,1,2,6.0,1,1
Rose Davis,38,3,3,1,2,10.0,3,1
Derek Newman,43,4,1,1,1,7.5,2,1
James Mcknight,56,5,1,1,2,9.0,3,1
Anthony Ferguson,86,8,4,1,1,10.5,3,1
John Spears,81,8,2,1,2,4.5,1,1
Dr. Alexandra Castillo,12,1,1,1,2,6.5,1,1
Carolyn Woods,26,2,1,1,3,7.0,2,2
Daniel Martinez,28,2,2,1,3,7.5,2,2
Mrs. Michelle Jordan,43,4,1,1,1,7.5,2,1
Walter Gomez,64,6,1,1,3,7.0,2,1
Henry Taylor,33,3,2,1,1,8.5,2,1
Christina Larson,79,7,2,1,3,5.0,1,1
Nicole Collins,82,8,2,1,1,8.5,2,2
Zachary Reeves,66,6,2,1,2,8.5,2,1
Emily Gibson,42,4,4,2,2,4.5,1,1
Brent Carroll,52,5,3,1,1,7.5,2,3
Chloe Fletcher,35,3,2,1,1,8.5,2,1
Danielle Lopez,15,1,1,1,2,7.5,2,1
John Smith,58,5,4,1,1,6.5,1,3
Scott Carpenter,27,2,1,1,3,8.5,2,1
Barbara Fisher,59,5,4,1,3,7.5,2,1
Christine Carter,20,2,2,1,1,9.5,3,1
Eric Carpenter,46,4,2,1,3,8.0,2,1
James Kent,48,4,1,2,1,5.5,1,2
Carlos Gomez,66,6,1,1,1,8.0,2,1
Robert Ballard,59,5,2,2,1,6.0,1,1
Jacob Anderson,65,6,2,1,1,5.0,1,1
Vicki Hall,39,3,2,1,1,7.5,2,1
Kyle Cardenas,35,3,1,1,1,6.5,1,3
Robert Taylor,9,1,2,1,1,7.5,2,1
Caleb Collins,64,6,2,1,2,8.0,2,3
Michael Martin,45,4,4,2,3,8.5,2,1
Cindy Thomas,71,7,3,1,1,6.0,1,2
Jennifer Booth,45,4,1,2,3,8.0,2,2
Kristopher Sellers,41,4,1,1,1,7.0,2,2
Shawn Day,46,4,3,1,3,6.0,1,1
Alexandra Callahan,98,8,3,1,1,9.0,3,1
Sherri Warner DVM,8,1,1,1,1,8.0,2,1
Lauren Sanchez,93,8,1,1,2,8.0,2,1
Brian Guzman,22,2,1,1,2,9.5,3,2
Darrell Patterson,50,5,4,1,2,10.0,3,1
David Norton,49,4,2,1,1,7.0,2,1
David May,50,5,2,3,1,8.5,2,1
William Kennedy,45,4,1,1,3,5.0,1,1
Jonathan Johnson,11,1,3,1,2,6.5,1,1
Kimberly Stephens,10,1,1,1,2,5.0,1,1
Michael Ramirez,67,6,1,2,1,6.5,1,1
Erika Thompson,57,5,3,1,3,6.5,1,2
Teresa Gill,47,4,1,1,2,10.5,3,1
Lisa Johnson,57,5,1,1,3,7.5,2,2
Jasmine Harris,74,7,1,1,2,8.0,2,1
Shawna Moore,59,5,4,1,1,7.5,2,2
Jose Leonard,22,2,1,1,1,6.5,1,1
Lawrence Collins,34,3,2,1,1,10.5,3,3
Mrs. Pamela Bell,47,4,1,3,2,7.0,2,3
Cynthia Davenport,96,8,4,2,1,6.5,1,1
Ashley Rodriguez,21,2,1,1,3,8.0,2,2
John Carroll,86,8,3,1,2,6.5,1,1
Thomas Graham,97,8,2,1,1,7.5,2,1
Andrew Espinoza,19,1,2,1,1,8.0,2,1
Michael Smith,28,2,1,1,2,5.5,1,1
John Gordon,50,5,2,1,2,8.5,2,1
Anthony Lam,35,3,3,1,3,9.0,3,1
Michael Davis,58,5,1,2,2,10.0,3,3
Brooke Martinez,68,6,4,1,3,9.5,3,1
Taylor Salinas,21,2,1,1,1,8.0,2,1
Stephanie Wilson,81,8,1,1,3,6.5,1,1
Rebecca Page,79,7,3,1,3,7.5,2,1
Teresa Ellis,37,3,1,1,2,5.0,1,1
Julian Hughes,38,3,1,1,1,7.0,2,1
Megan Owens,69,6,2,1,1,6.5,1,2
Lisa Sanchez,43,4,1,1,1,10.0,3,1
Thomas Taylor,21,2,1,1,1,8.5,2,1
Courtney Humphrey,94,8,4,1,2,6.0,1,1
Corey Rodriguez,58,5,2,1,1,7.5,2,1
Lori Carter,81,8,2,1,2,6.5,1,1
Tammy Crawford,29,2,1,3,1,8.5,2,1
Alexis Bailey,95,8,1,1,1,8.5,2,1
Vanessa Brewer,14,1,2,1,1,7.0,2,1
Melissa Wright,96,8,1,1,2,6.0,1,1
Darius Hahn,26,2,3,1,1,9.5,3,1
Stephanie Jackson,37,3,1,2,2,7.5,2,1
Eric Murray,39,3,1,1,3,8.5,2,2
Michelle Webster,64,6,3,1,3,6.0,1,1
Michael Liu,33,3,3,3,2,10.5,3,1
Mary Brown,71,7,3,1,1,6.0,1,1
Mark Valdez,10,1,1,3,2,10.0,3,1
Matthew Jacobs,27,2,1,1,1,6.0,1,1
Crystal Cisneros,46,4,4,1,2,8.0,2,1
Brian Wright,8,1,1,2,1,8.0,2,1
Cameron Bates,49,4,3,1,3,6.0,1,1
Kerry Lambert,66,6,1,1,1,4.5,1,2
Brittney Mendoza,83,8,3,1,3,5.5,1,1
William Harvey,13,1,2,1,1,8.0,2,1
Debbie Nguyen,58,5,2,2,1,4.5,1,1
Ian Yoder,29,2,1,1,1,9.0,3,1
Sue Parker,18,1,2,1,1,6.0,1,1
Jesse Jones,74,7,2,1,1,9.5,3,1
David Johnson,9,1,4,1,2,7.5,2,1
Wanda Hart,57,5,2,1,3,4.0,1,2
Amy Johns,68,6,1,3,2,7.0,2,1
Matthew Watson,41,4,1,1,1,9.0,3,3
Melvin Smith,61,6,1,2,1,6.0,1,3
Jessica Bishop,37,3,2,1,2,6.5,1,1
Ryan Wilkins,58,5,1,2,3,4.5,1,1
Kathleen Thornton,28,2,2,1,1,6.5,1,1
Misty Thomas,76,7,1,1,1,7.5,2,2
Sarah Hammond,92,8,2,1,3,7.5,2,2
Julie Price,84,8,4,1,2,6.0,1,1
Erin Lynch,50,5,4,1,1,6.5,1,2
Susan Mejia,23,2,1,1,1,6.5,1,1
Wendy Miller,20,2,4,1,1,7.0,2,1
Joseph Gomez,50,5,1,1,1,8.0,2,1
Jake Phillips,45,4,1,1,2,8.5,2,1
Debbie Fowler,45,4,1,1,1,8.0,2,1
Terry Shaw,28,2,3,2,3,7.5,2,1
Amanda Frost,35,3,1,1,2,8.5,2,1
Rebecca Campbell,20,2,1,1,1,7.0,2,1
Tiffany Hancock,15,1,1,1,2,6.0,1,1
Jerry Johnson,43,4,3,1,3,8.5,2,2
Mr. Robert Chandler,43,4,1,3,2,6.5,1,1
Nicole Mckenzie,55,5,1,1,1,7.0,2,1
Brittany Bennett,22,2,2,1,2,5.5,1,1
Wesley Stafford,65,6,2,2,2,7.5,2,2
Nathan Williams,23,2,2,1,2,8.0,2,1
Theresa Munoz,24,2,4,1,1,6.5,1,1
Taylor Barnes,90,8,1,1,1,7.5,2,1
Mr. Gary Webb,55,5,3,1,1,8.0,2,1
Stephanie Fisher,41,4,3,1,3,5.0,1,1
Logan Mitchell,34,3,2,2,2,7.0,2,2
Robert Gross MD,41,4,1,1,3,5.0,1,1
Julie Miles,46,4,1,2,1,8.0,2,1
Tiffany Taylor,75,7,1,1,2,8.0,2,1
Lee Little,20,2,1,1,2,7.5,2,1
Cathy Dennis,29,2,1,1,3,5.0,1,1
Mr. James Bailey,79,7,1,3,1,8.0,2,1
Ellen Lee,9,1,3,1,2,10.5,3,1
Kenneth Walker,55,5,2,1,2,6.0,1,1
Stephen Benton,24,2,4,1,1,8.5,2,1
Erin Tate,40,4,3,1,2,6.0,1,1
Victor Mercer,81,8,4,1,2,8.0,2,1
Lynn Banks,20,2,1,1,1,7.5,2,1
Rodney Taylor,32,3,4,1,3,10.0,3,1
William Williams,13,1,2,3,3,10.5,3,1
Jamie Fitzgerald,32,3,2,2,1,5.5,1,1
Lisa Reynolds,24,2,2,3,3,5.0,1,3
Jacqueline Anderson,48,4,3,2,2,9.0,3,1
Walter Wilson,8,1,1,1,2,8.5,2,1
Angela Patrick,23,2,2,2,1,5.5,1,1
Jennifer Pierce,35,3,1,1,1,8.5,2,1
Maria Hicks,25,2,3,1,3,6.0,1,1
Jennifer Ramos,47,4,2,2,2,6.5,1,1
Debra Tate,67,6,2,1,3,4.5,1,1
Amy Cole,57,5,1,1,2,8.0,2,1
Linda Sheppard,34,3,1,1,1,6.5,1,1
